

Timing Results, ECC
+-----------+--------------+------------+-------------+--+------------+
| Device ID | Key Gen (ms) | Sign (ms)  | Verify (ms) |  | Auth. (ms) |
|    289    |  0.02002716  | 0.31948090 |  0.74958801 |  | 2.13932991 |
|    290    |  0.02026558  | 0.32210350 |  0.74362755 |  | 2.13336945 |
|    291    |  0.02002716  | 0.32138824 |  0.74958801 |  | 2.14076042 |
|    292    |  0.02026558  | 0.31971931 |  0.74982643 |  | 2.13766098 |
|    293    |  0.02026558  | 0.32186508 |  0.74243546 |  | 2.13313103 |
|    294    |  0.02002716  | 0.32019615 |  0.74720383 |  | 2.13599205 |
|    295    |  0.02002716  | 0.31924248 |  0.74815750 |  | 2.13861465 |
|    296    |  0.02002716  | 0.32401085 |  0.74338913 |  | 2.13742256 |
|    297    |  0.02026558  | 0.31852722 |  0.74958801 |  | 2.13742256 |
|    298    |  0.02026558  | 0.31995773 |  0.74720383 |  | 2.13551521 |
|    299    |  0.02002716  | 0.32305717 |  0.74172020 |  | 2.13170052 |
|    300    |  0.02026558  | 0.31781197 |  0.75101852 |  | 2.14028358 |
|    301    |  0.02002716  | 0.31852722 |  0.74672699 |  | 2.13575363 |
|    302    |  0.01978874  | 0.32186508 |  0.74458122 |  | 2.13479996 |
|    303    |  0.01978874  | 0.31495094 |  0.74648857 |  | 2.12860107 |
|    304    |  0.02002716  | 0.31924248 |  0.74815750 |  | 2.13694572 |
|    305    |  0.01955032  | 0.32114983 |  0.74458122 |  | 2.13265419 |
|    306    |  0.02026558  | 0.31924248 |  0.74839592 |  | 2.13813782 |
|    307    |  0.01955032  | 0.31685829 |  0.74863434 |  | 2.13408470 |
|    308    |  0.02026558  | 0.32186508 |  0.74481964 |  | 2.13503838 |
|    309    |  0.02050400  | 0.31995773 |  0.75030327 |  | 2.14481354 |
|    310    |  0.02026558  | 0.31852722 |  0.75101852 |  | 2.14266777 |
|    311    |  0.01978874  | 0.31971931 |  0.74601173 |  | 2.13432312 |
|    312    |  0.02312660  | 0.32234192 |  0.75888634 |  | 2.15768814 |
|    313    |  0.02098083  | 0.32210350 |  0.74839592 |  | 2.14624405 |
|    314    |  0.02026558  | 0.32567978 |  0.75173378 |  | 2.14767456 |
|    315    |  0.02026558  | 0.31924248 |  0.74911118 |  | 2.13932991 |
|    316    |  0.02050400  | 0.31852722 |  0.74791908 |  | 2.13575363 |
|    317    |  0.02026558  | 0.32019615 |  0.74720383 |  | 2.13289261 |
|    318    |  0.02026558  | 0.31661987 |  0.74887276 |  | 2.13479996 |
|    319    |  0.02002716  | 0.31852722 |  0.74672699 |  | 2.13813782 |
|    320    |  0.02026558  | 0.32353401 |  0.74791908 |  | 2.14052200 |
|    321    |  0.02098083  | 0.32210350 |  0.75078011 |  | 2.14624405 |
|    322    |  0.02002716  | 0.31876564 |  0.74505806 |  | 2.13766098 |
|    323    |  0.02002716  | 0.32210350 |  0.74982643 |  | 2.13956833 |
|    324    |  0.02002716  | 0.32114983 |  0.74934959 |  | 2.14672089 |
|    325    |  0.02050400  | 0.31995773 |  0.74529648 |  | 2.14028358 |
|    326    |  0.02026558  | 0.32162666 |  0.74744225 |  | 2.13527679 |
|    327    |  0.02026558  | 0.31828880 |  0.75078011 |  | 2.13909149 |
|    328    |  0.02002716  | 0.32091141 |  0.74672699 |  | 2.14338303 |
|    329    |  0.02026558  | 0.31948090 |  0.75364113 |  | 2.14648247 |
|    330    |  0.02074242  | 0.32114983 |  0.75221062 |  | 2.14552879 |
|    331    |  0.02002716  | 0.32782555 |  0.74720383 |  | 2.14457512 |
|    332    |  0.02074242  | 0.32281876 |  0.74887276 |  | 2.14385986 |
|    333    |  0.02050400  | 0.31971931 |  0.74839592 |  | 2.13909149 |
|    334    |  0.02026558  | 0.32472610 |  0.74529648 |  | 2.14457512 |
|    335    |  0.02002716  | 0.32019615 |  0.74911118 |  | 2.13885307 |
|    336    |  0.02026558  | 0.31900406 |  0.75244904 |  | 2.13885307 |
|    337    |  0.02074242  | 0.32281876 |  0.74696541 |  | 2.14290619 |
